Date,Price
3/4/24,176100
3/5/24,175800
3/6/24,180600
3/7/24,177100
3/8/24,180300
3/11/24,179500
3/12/24,181700
3/13/24,178800
3/14/24,179400
3/15/24,180800
3/18/24,182500
3/19/24,184400
3/20/24,183100
3/21/24,185800
3/22/24,188200
3/25/24,188900
3/26/24,186400
3/27/24,184200
3/28/24,183800
3/29/24,191200
4/1/24,188100
4/2/24,183800
4/3/24,180500
4/4/24,179600
4/5/24,177500
4/8/24,188500
4/9/24,181300
4/11/24,179500
4/12/24,182200
4/15/24,178600
4/16/24,172000
4/17/24,171000
4/18/24,177100
4/19/24,172900
4/22/24,178700
4/23/24,179700
4/24/24,179500
4/25/24,177400
4/26/24,176600
4/29/24,183700
4/30/24,189000
5/2/24,187500
5/3/24,189000
5/7/24,194400
5/8/24,194600
5/9/24,189700
5/10/24,192900
5/13/24,190800
5/14/24,190900
5/16/24,193000
5/17/24,191500
5/20/24,187000
5/21/24,186200
5/22/24,184800
5/23/24,183500
5/24/24,179900
5/27/24,179600
5/28/24,180900
5/29/24,178900
5/30/24,177300
5/31/24,176200
6/3/24,179000
