Date,Price
3/4/24,255500
3/5/24,249000
3/6/24,251000
3/7/24,250000
3/8/24,253000
3/11/24,243500
3/12/24,241500
3/13/24,248500
3/14/24,251500
3/15/24,243500
3/18/24,242500
3/19/24,237500
3/20/24,241000
3/21/24,252000
3/22/24,243500
3/25/24,239500
3/26/24,240500
3/27/24,244000
3/28/24,237000
3/29/24,233000
4/1/24,227500
4/2/24,220000
4/3/24,216000
4/4/24,226000
4/5/24,225500
4/8/24,232500
4/9/24,228000
4/11/24,241000
4/12/24,238000
4/15/24,241500
4/16/24,242000
4/17/24,233500
4/18/24,231000
4/19/24,235000
4/22/24,245000
4/23/24,249500
4/24/24,252500
4/25/24,250000
4/26/24,249500
4/29/24,251500
4/30/24,251000
5/2/24,249000
5/3/24,241000
5/7/24,242000
5/8/24,242000
5/9/24,237000
5/10/24,241500
5/13/24,245000
5/14/24,246500
5/16/24,247000
5/17/24,244000
5/20/24,250500
5/21/24,253000
5/22/24,277000
5/23/24,271500
5/24/24,267500
5/27/24,265500
5/28/24,265000
5/29/24,261000
5/30/24,257000
5/31/24,253000
6/3/24,265000
