Date,Price
3/4/24,217500
3/5/24,218000
3/6/24,213000
3/7/24,216000
3/8/24,222000
3/11/24,232500
3/12/24,234000
3/13/24,239000
3/14/24,235000
3/15/24,230500
3/18/24,238000
3/19/24,237000
3/20/24,237500
3/21/24,240500
3/22/24,236000
3/25/24,240000
3/26/24,246500
3/27/24,257000
3/28/24,250000
3/29/24,247000
4/1/24,250500
4/2/24,252000
4/3/24,253500
4/4/24,253000
4/5/24,249500
4/8/24,243500
4/9/24,242000
4/11/24,247500
4/12/24,238500
4/15/24,247000
4/16/24,254000
4/17/24,253000
4/18/24,260000
4/19/24,254000
4/22/24,259000
4/23/24,238000
4/24/24,240000
4/25/24,225500
4/26/24,229500
4/29/24,240000
4/30/24,239500
5/2/24,243000
5/3/24,251000
5/7/24,257500
5/8/24,260000
5/9/24,263500
5/10/24,259000
5/13/24,259500
5/14/24,257000
5/16/24,258500
5/17/24,258000
5/20/24,252500
5/21/24,252500
5/22/24,254500
5/23/24,256000
5/24/24,260000
5/27/24,260000
5/28/24,246500
5/29/24,244000
5/30/24,251000
5/31/24,250000
6/3/24,247500
