Date,Price
3/4/24,398500
3/5/24,387500
3/6/24,387000
3/7/24,399500
3/8/24,402500
3/11/24,400500
3/12/24,419500
3/13/24,418500
3/14/24,416000
3/15/24,398500
3/18/24,407500
3/19/24,403000
3/20/24,407500
3/21/24,413500
3/22/24,413500
3/25/24,414500
3/26/24,406000
3/27/24,409000
3/28/24,401500
3/29/24,395000
4/1/24,395500
4/2/24,393000
4/3/24,376000
4/4/24,379500
4/5/24,376000
4/8/24,373000
4/9/24,374000
4/11/24,380000
4/12/24,371500
4/15/24,373000
4/16/24,366000
4/17/24,364500
4/18/24,377000
4/19/24,367000
4/22/24,378500
4/23/24,370000
4/24/24,385000
4/25/24,372500
4/26/24,372000
4/29/24,378500
4/30/24,389000
5/2/24,389000
5/3/24,391000
5/7/24,391500
5/8/24,393000
5/9/24,388500
5/10/24,383500
5/13/24,381500
5/14/24,385500
5/16/24,381500
5/17/24,376500
5/20/24,372000
5/21/24,364500
5/22/24,364000
5/23/24,362000
5/24/24,356000
5/27/24,364500
5/28/24,360000
5/29/24,342000
5/30/24,328000
5/31/24,331000
6/3/24,332000
