Date,Price
3/4/24,192000
3/5/24,188700
3/6/24,189800
3/7/24,189000
3/8/24,188000
3/11/24,189900
3/12/24,190500
3/13/24,188400
3/14/24,186800
3/15/24,186100
3/18/24,184100
3/19/24,182600
3/20/24,183100
3/21/24,184400
3/22/24,188900
3/25/24,188000
3/26/24,188900
3/27/24,189300
3/28/24,187100
3/29/24,187400
4/1/24,194300
4/2/24,192000
4/3/24,193400
4/4/24,194300
4/5/24,193100
4/8/24,189900
4/9/24,189000
4/11/24,183600
4/12/24,185900
4/15/24,182800
4/16/24,179500
4/17/24,179600
4/18/24,180700
4/19/24,182400
4/22/24,180900
4/23/24,180100
4/24/24,183700
4/25/24,182700
4/26/24,181500
4/29/24,184700
4/30/24,184400
5/2/24,188800
5/3/24,194600
5/7/24,194800
5/8/24,190900
5/9/24,188300
5/10/24,188600
5/13/24,184300
5/14/24,184400
5/16/24,188500
5/17/24,187300
5/20/24,184000
5/21/24,183200
5/22/24,182600
5/23/24,182100
5/24/24,179000
5/27/24,179000
5/28/24,177400
5/29/24,175300
5/30/24,170400
5/31/24,170200
6/3/24,172700
