Date,Price
3/4/24,74900
3/5/24,73700
3/6/24,72900
3/7/24,72200
3/8/24,73300
3/11/24,72400
3/12/24,73300
3/13/24,74100
3/14/24,74300
3/15/24,72300
3/18/24,72800
3/19/24,72800
3/20/24,76900
3/21/24,79300
3/22/24,78900
3/25/24,78200
3/26/24,79900
3/27/24,79800
3/28/24,80800
3/29/24,82400
4/1/24,82000
4/2/24,85000
4/3/24,84100
4/4/24,85300
4/5/24,84500
4/8/24,84500
4/9/24,83600
4/11/24,84100
4/12/24,83700
4/15/24,82200
4/16/24,80000
4/17/24,78900
4/18/24,79600
4/19/24,77600
4/22/24,76100
4/23/24,75500
4/24/24,78600
4/25/24,76300
4/26/24,76700
4/29/24,76700
4/30/24,77500
5/2/24,78000
5/3/24,77600
5/7/24,81300
5/8/24,81300
5/9/24,79700
5/10/24,79200
5/13/24,78400
5/14/24,78300
5/16/24,78200
5/17/24,77400
5/20/24,78900
5/21/24,78400
5/22/24,77700
5/23/24,78300
5/24/24,75900
5/27/24,77200
5/28/24,77600
5/29/24,75200
5/30/24,73500
5/31/24,73500
6/3/24,75700
