Date,Price
2024-03-04,74900
2024-03-05,73700
2024-03-06,72900
2024-03-07,72200
2024-03-08,73300
2024-03-11,72400
2024-03-12,73300
2024-03-13,74100
2024-03-14,74300
2024-03-15,72300
2024-03-18,72800
2024-03-19,72800
2024-03-20,76900
2024-03-21,79300
2024-03-22,78900
2024-03-25,78200
2024-03-26,79900
2024-03-27,79800
2024-03-28,80800
2024-03-29,82400
2024-04-01,82000
2024-04-02,85000
2024-04-03,84100
2024-04-04,85300
2024-04-05,84500
2024-04-08,84500
2024-04-09,83600
2024-04-11,84100
2024-04-12,83700
2024-04-15,82200
2024-04-16,80000
2024-04-17,78900
2024-04-18,79600
2024-04-19,77600
2024-04-22,76100
2024-04-23,75500
2024-04-24,78600
2024-04-25,76300
2024-04-26,76700
2024-04-29,76700
2024-04-30,77500
2024-05-02,78000
2024-05-03,77600
2024-05-07,81300
